30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perlrepository.pod 	              8	                   5	               5	                          5	               75	                 69	             69	                        69	                               434	                                 394	                             394	                                        394	                                      494	                                        451	                                    451	                                               451	
perlrequick.pod    	            309	                  43	             270	                         43	             2800	                245	           2723	                       245	                             13701	                                1248	                           13305	                                       1248	                                    16268	                                       1498	                                  15816	                                              1498	
perlreref.pod      	            316	                 280	             282	                        271	             1883	               1810	           1837	                      1802	                             10405	                                9990	                           10019	                                       9812	                                    12772	                                      12291	                                  12351	                                             12108	
perlretut.pod      	           1755	                1409	            1378	                       1308	            18753	              17794	          17476	                     17308	                             92519	                               87489	                           86143	                                      85191	                                   108898	                                     103034	                                 101256	                                            100193	
perlrun.pod        	            704	                  86	             631	                         82	             8834	               1050	           8601	                      1041	                             43604	                                5476	                           42454	                                       5432	                                    50664	                                       6344	                                  49381	                                              6296	
perlsec.pod        	            299	                 263	             262	                        257	             3957	               3895	           3799	                      3772	                             20553	                               20221	                           19713	                                      19572	                                    23938	                                      23566	                                  22968	                                             22811	
perlsource.pod     	            118	                   7	             107	                          7	             1183	                136	           1156	                       136	                              5788	                                 651	                            5639	                                        651	                                     6717	                                        758	                                   6553	                                               758	
perlstyle.pod      	            162	                   0	             106	                          0	             1396	                  0	           1275	                         0	                              7052	                                   0	                            6403	                                          0	                                     8215	                                          0	                                   7460	                                                 0	
perlsub.pod        	           1177	                 845	             959	                        813	            11247	               9502	          10987	                      9403	                             57918	                               48678	                           56329	                                      48014	                                    67654	                                      56947	                                  65875	                                             56210	
perlsyn.pod        	            716	                  37	             575	                         37	             7046	                479	           6791	                       479	                             34398	                                2216	                           32958	                                       2216	                                    40343	                                       2609	                                  38676	                                              2609	
